Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
MY1,CO,06/11/1993 00:00,,mg m-3,R
MY1,CO,07/11/1993 00:00,,mg m-3,R
MY1,CO,08/11/1993 00:00,,mg m-3,R
MY1,CO,09/11/1993 00:00,,mg m-3,R
MY1,CO,10/11/1993 00:00,,mg m-3,R
MY1,CO,11/11/1993 00:00,,mg m-3,R
MY1,CO,12/11/1993 00:00,,mg m-3,R
MY1,CO,13/11/1993 00:00,,mg m-3,R
MY1,CO,14/11/1993 00:00,,mg m-3,R
MY1,CO,15/11/1993 00:00,,mg m-3,R
MY1,CO,16/11/1993 00:00,,mg m-3,R
MY1,CO,17/11/1993 00:00,,mg m-3,R
MY1,CO,18/11/1993 00:00,,mg m-3,R
MY1,CO,19/11/1993 00:00,,mg m-3,R
MY1,CO,20/11/1993 00:00,,mg m-3,R
MY1,CO,21/11/1993 00:00,,mg m-3,R
MY1,CO,22/11/1993 00:00,,mg m-3,R
MY1,CO,23/11/1993 00:00,,mg m-3,R
MY1,CO,24/11/1993 00:00,,mg m-3,R
MY1,CO,25/11/1993 00:00,,mg m-3,R
MY1,CO,26/11/1993 00:00,,mg m-3,R
MY1,CO,27/11/1993 00:00,,mg m-3,R
MY1,CO,28/11/1993 00:00,,mg m-3,R
MY1,CO,29/11/1993 00:00,,mg m-3,R
MY1,CO,30/11/1993 00:00,,mg m-3,R
MY1,CO,01/12/1993 00:00,,mg m-3,R
MY1,CO,02/12/1993 00:00,,mg m-3,R
MY1,CO,03/12/1993 00:00,,mg m-3,R
MY1,CO,04/12/1993 00:00,,mg m-3,R
MY1,CO,05/12/1993 00:00,,mg m-3,R
MY1,CO,06/12/1993 00:00,,mg m-3,R
MY1,CO,07/12/1993 00:00,,mg m-3,R
MY1,CO,08/12/1993 00:00,,mg m-3,R
MY1,CO,09/12/1993 00:00,,mg m-3,R
MY1,CO,10/12/1993 00:00,,mg m-3,R
MY1,CO,11/12/1993 00:00,,mg m-3,R
MY1,CO,12/12/1993 00:00,,mg m-3,R
MY1,CO,13/12/1993 00:00,,mg m-3,R
MY1,CO,14/12/1993 00:00,,mg m-3,R
MY1,CO,15/12/1993 00:00,,mg m-3,R
MY1,CO,16/12/1993 00:00,,mg m-3,R
MY1,CO,17/12/1993 00:00,,mg m-3,R
MY1,CO,18/12/1993 00:00,,mg m-3,R
MY1,CO,19/12/1993 00:00,,mg m-3,R
MY1,CO,20/12/1993 00:00,,mg m-3,R
MY1,CO,21/12/1993 00:00,,mg m-3,R
MY1,CO,22/12/1993 00:00,,mg m-3,R
MY1,CO,23/12/1993 00:00,,mg m-3,R
MY1,CO,24/12/1993 00:00,,mg m-3,R
MY1,CO,25/12/1993 00:00,,mg m-3,R
MY1,CO,26/12/1993 00:00,,mg m-3,R
MY1,CO,27/12/1993 00:00,,mg m-3,R
MY1,CO,28/12/1993 00:00,,mg m-3,R
MY1,CO,29/12/1993 00:00,,mg m-3,R
MY1,CO,30/12/1993 00:00,,mg m-3,R
MY1,CO,31/12/1993 00:00,,mg m-3,R
MY1,CO,01/01/1994 00:00,,mg m-3,R
MY1,CO,02/01/1994 00:00,,mg m-3,R
MY1,CO,03/01/1994 00:00,,mg m-3,R
MY1,CO,04/01/1994 00:00,,mg m-3,R
MY1,CO,05/01/1994 00:00,,mg m-3,R
MY1,CO,06/01/1994 00:00,,mg m-3,R
MY1,CO,07/01/1994 00:00,,mg m-3,R
MY1,CO,08/01/1994 00:00,,mg m-3,R
MY1,CO,09/01/1994 00:00,,mg m-3,R
MY1,CO,10/01/1994 00:00,,mg m-3,R
MY1,CO,11/01/1994 00:00,,mg m-3,R
MY1,CO,12/01/1994 00:00,,mg m-3,R
MY1,CO,13/01/1994 00:00,,mg m-3,R
MY1,CO,14/01/1994 00:00,,mg m-3,R
MY1,CO,15/01/1994 00:00,,mg m-3,R
MY1,CO,16/01/1994 00:00,,mg m-3,R
MY1,CO,17/01/1994 00:00,,mg m-3,R
MY1,CO,18/01/1994 00:00,,mg m-3,R
MY1,CO,19/01/1994 00:00,,mg m-3,R
MY1,CO,20/01/1994 00:00,,mg m-3,R
MY1,CO,21/01/1994 00:00,,mg m-3,R
MY1,CO,22/01/1994 00:00,,mg m-3,R
MY1,CO,23/01/1994 00:00,,mg m-3,R
MY1,CO,24/01/1994 00:00,,mg m-3,R
MY1,CO,25/01/1994 00:00,,mg m-3,R
MY1,CO,26/01/1994 00:00,,mg m-3,R
MY1,CO,27/01/1994 00:00,,mg m-3,R
MY1,CO,28/01/1994 00:00,,mg m-3,R
MY1,CO,29/01/1994 00:00,,mg m-3,R
MY1,CO,30/01/1994 00:00,,mg m-3,R
MY1,CO,31/01/1994 00:00,,mg m-3,R
MY1,CO,01/02/1994 00:00,,mg m-3,R
MY1,CO,02/02/1994 00:00,,mg m-3,R
MY1,CO,03/02/1994 00:00,,mg m-3,R
MY1,CO,04/02/1994 00:00,,mg m-3,R
MY1,CO,05/02/1994 00:00,,mg m-3,R
MY1,CO,06/02/1994 00:00,,mg m-3,R
MY1,CO,07/02/1994 00:00,,mg m-3,R
MY1,CO,08/02/1994 00:00,,mg m-3,R
MY1,CO,09/02/1994 00:00,,mg m-3,R
MY1,CO,10/02/1994 00:00,,mg m-3,R
MY1,CO,11/02/1994 00:00,,mg m-3,R
MY1,CO,12/02/1994 00:00,,mg m-3,R
MY1,CO,13/02/1994 00:00,,mg m-3,R
MY1,CO,14/02/1994 00:00,,mg m-3,R
MY1,CO,15/02/1994 00:00,,mg m-3,R
MY1,CO,16/02/1994 00:00,,mg m-3,R
MY1,CO,17/02/1994 00:00,,mg m-3,R
MY1,CO,18/02/1994 00:00,,mg m-3,R
MY1,CO,19/02/1994 00:00,,mg m-3,R
MY1,CO,20/02/1994 00:00,,mg m-3,R
MY1,CO,21/02/1994 00:00,,mg m-3,R
MY1,CO,22/02/1994 00:00,,mg m-3,R
MY1,CO,23/02/1994 00:00,,mg m-3,R
MY1,CO,24/02/1994 00:00,,mg m-3,R
MY1,CO,25/02/1994 00:00,,mg m-3,R
MY1,CO,26/02/1994 00:00,,mg m-3,R
MY1,CO,27/02/1994 00:00,,mg m-3,R
MY1,CO,28/02/1994 00:00,,mg m-3,R
MY1,CO,01/03/1994 00:00,,mg m-3,R
MY1,CO,02/03/1994 00:00,,mg m-3,R
MY1,CO,03/03/1994 00:00,,mg m-3,R
MY1,CO,04/03/1994 00:00,,mg m-3,R
MY1,CO,05/03/1994 00:00,,mg m-3,R
MY1,CO,06/03/1994 00:00,,mg m-3,R
MY1,CO,07/03/1994 00:00,,mg m-3,R
MY1,CO,08/03/1994 00:00,,mg m-3,R
MY1,CO,09/03/1994 00:00,,mg m-3,R
MY1,CO,10/03/1994 00:00,,mg m-3,R
MY1,CO,11/03/1994 00:00,,mg m-3,R
MY1,CO,12/03/1994 00:00,,mg m-3,R
MY1,CO,13/03/1994 00:00,,mg m-3,R
MY1,CO,14/03/1994 00:00,,mg m-3,R
MY1,CO,15/03/1994 00:00,,mg m-3,R
MY1,CO,16/03/1994 00:00,,mg m-3,R
MY1,CO,17/03/1994 00:00,,mg m-3,R
MY1,CO,18/03/1994 00:00,,mg m-3,R
MY1,CO,19/03/1994 00:00,,mg m-3,R
MY1,CO,20/03/1994 00:00,,mg m-3,R
MY1,CO,21/03/1994 00:00,,mg m-3,R
MY1,CO,22/03/1994 00:00,,mg m-3,R
MY1,CO,23/03/1994 00:00,,mg m-3,R
MY1,CO,24/03/1994 00:00,,mg m-3,R
